url,quantity_sold
https://www.lazada.vn/products/serum-giam-mun-va-cai-thien-da-dau-mun-uriage-hyseac-serum-peau-neuve-40ml-i1746838990.html,102
https://www.lazada.vn/products/tinh-chat-vichy-giam-tham-nam-dom-nau-liftactiv-b3-serum-30ml-i2034666849.html,5
https://www.lazada.vn/products/bo-4-san-pham-ngua-nam-tang-nhan-cham-soc-va-bao-ve-da-chuyen-sau-cosan-i2469547998.html,71
https://www.lazada.vn/products/tinh-chat-duong-da-4-trong-1-tre-hoa-san-chac-cap-am-lam-diu-dermalogica-smart-response-serum-30ml-i2041142110.html,6
https://www.lazada.vn/products/cham-mun-mario-badescu-drying-lotion-29ml-bill-us-chinh-hang-i1640720565.html,283
https://www.lazada.vn/products/dau-dua-nghe-turmeric-duong-giup-ho-tro-sang-da-sense-plus-10ml-glam-beautique-i2416114405.html,5
https://www.lazada.vn/products/dau-dua-tinh-khiet-my-pham-vietcoco-sa-chanh-90ml-i1209602795.html,173
https://www.lazada.vn/products/mua-2-tinh-tien-1-tinh-chat-serum-giam-nep-nhan-ngua-lao-hoa-vung-da-mat-bio-gold-eye-power-illuminator-chiet-xuat-vang-24k-17g-i2474949652.html,60
https://www.lazada.vn/products/tinh-chat-duong-am-cap-nuoc-cang-bong-da-9-wishes-hydra-glowing-deep-hydration-ampule-serum-30ml-i2007657148.html,296
https://www.lazada.vn/products/ban-gioi-han-mua-le-hoi-bo-giai-phap-lam-sach-toa-sang-3-san-pham-kich-co-fullsize-i2474406044.html,8
https://www.lazada.vn/products/tinh-chat-tai-tao-tre-hoa-da-murad-retinol-youth-renewal-serum-30ml-i1999567409.html,200
https://www.lazada.vn/products/serum-cap-nuoc-duong-am-balance-active-formula-hyaluronic-deep-moisturizing-30ml-i427090779.html,3500
https://www.lazada.vn/products/bo-2-san-pham-xoa-mun-tham-seo-va-duong-da-cosan-pure-luminescence-cream-30g-asc-renewal-serum-30ml-i2468855687.html,56
https://www.lazada.vn/products/thach-hoa-hong-duong-am-kem-duong-am-cocoon-cap-am-nuoi-duong-30ml-i853962262.html,4900
https://www.lazada.vn/products/toner-anua-diep-ca-lam-diu-duong-da-anua-heartleaf-77-soothing-toner-nuoc-hoa-hong-giam-mun-250ml-i2458127237.html,5
https://www.lazada.vn/products/bo-kit-giup-thanh-loc-da-san-chac-chong-lao-hoa-dermalogica-age-defense-kit-i2041167160.html,12
https://www.lazada.vn/products/serum-oribe-bo-sung-collagen-duong-trang-da-duong-am-va-lam-min-da-mo-nam-chong-lao-hoa-36-vien-i998894160.html,41
https://www.lazada.vn/products/tinh-chat-chong-oxy-hoa-duong-da-sang-khoe-vichy-liftactiv-vitamin-c-pure-15-20ml-i1940310871.html,955
https://www.lazada.vn/products/kem-duong-phuc-hoi-da-chong-lao-hoa-ban-dem-sakura-restorative-night-cream-30g-i1618649472.html,19
https://www.lazada.vn/products/kem-duong-trang-da-mo-tham-nam-chi-trong-7-ngay-angels-liquid-7-day-glutathione-700-v-cream-50ml-i2007597397.html,42
https://www.lazada.vn/products/nuoc-hoa-hong-simple-toner-lam-diu-va-can-bang-do-am-cho-da-lanh-tinh-200ml-i2639192279.html,24
https://www.lazada.vn/products/mini-10g-kem-duong-da-chong-lao-hoa-ponds-age-miracle-ban-dem-i2494477847.html,101
https://www.lazada.vn/products/tinh-chat-dear-klairs-freshly-juiced-vitamin-drop-35ml-i827834528.html,2800
https://www.lazada.vn/products/tinh-chat-phuc-hoi-lam-diu-da-skin-1004-madagascar-centella-ampoule-55ml-i531008915.html,2800
https://www.lazada.vn/products/tinh-chat-giam-mun-lam-mo-tham-sam-va-mem-min-da-svr-sebiaclear-serum-30ml-i2007500880.html,22
https://www.lazada.vn/products/tinh-chat-vitamin-c-duong-trang-mo-tham-cao-cap-melano-cc-premium-whitening-essence-20ml-i2430417067.html,275
https://www.lazada.vn/products/serum-mun-an-mun-dau-den-mun-tham-mun-boc-cho-da-dau-tuoi-day-thi-serum-mun-tan-goc-doctor-care-20ml-i2030899165.html,991
https://www.lazada.vn/products/tinh-chat-bi-dao-serum-n15-15-niacinamide-giam-bong-nhon-giam-mun-cocoon-70ml-i2091315408.html,1400
https://www.lazada.vn/products/size-18gram-bonus-5gramcao-nam-hoang-cung-magic-skin-cao-nam-royal-melasma-plus-magicskin-ngua-nam-tan-nhang-i2242221431.html,19
https://www.lazada.vn/products/bo-3-san-pham-cham-soc-da-mun-seo-tham-mun-i1332355908.html,378
https://www.lazada.vn/products/mua-2-tinh-tien-1-kem-duong-trang-sang-da-ban-dem-bio-white-pro-50g-i2140603600.html,245
https://www.lazada.vn/products/dung-dich-peel-da-ahohaw-triangle-pb-chiet-5ml-loai-bo-te-bao-chet-giam-mun-khit-lo-chan-long-duong-trang-da-i2293077063.html,18
https://www.lazada.vn/products/combo-4-mon-kem-cao-nam-kem-sam-serum-kem-chong-nang-sam-vang-mqskin-ho-tro-duong-trang-lam-deu-mau-da-i2429272157.html,24
